inserted_at,received_at
21:03:23.93449,21:03:23.690966
21:03:25.126179,21:03:24.697185
21:05:01.363369,21:05:01.327238
21:05:03.359018,21:05:03.325451
21:05:04.068238,21:05:04.02114
21:05:02.009922,21:05:01.993731
21:05:02.663958,21:05:02.643538
21:05:04.780054,21:05:04.731155
21:05:05.494741,21:05:05.439586
21:05:06.207932,21:05:06.153995
21:05:06.939842,21:05:06.840726
21:05:07.667348,21:05:07.602179
21:05:08.424749,21:05:08.348821
21:05:09.204392,21:05:09.094491
21:05:09.947442,21:05:09.867264
21:05:10.697583,21:05:10.611846
21:05:11.464312,21:05:11.337689
21:05:12.213059,21:05:12.130267
21:05:16.607423,21:05:16.310044
21:05:13.049852,21:05:13.034612
21:05:13.686748,21:05:13.670695
21:05:14.344588,21:05:14.322115
21:05:15.005503,21:05:14.979562
21:05:15.675727,21:05:15.647402
21:05:21.738343,21:05:21.49476
21:05:22.797646,21:05:22.403264
21:05:17.710247,21:05:17.28058
21:05:18.836241,21:05:18.36975
21:05:19.82248,21:05:19.496656
21:05:20.829445,21:05:20.501275
21:05:24.202566,21:05:23.497603
21:05:50.435837,21:05:50.420629
21:05:51.071774,21:05:51.056153
21:05:51.713001,21:05:51.693343
21:05:52.373376,21:05:52.337152
21:05:53.015839,21:05:52.99692
21:05:53.668378,21:05:53.644773
21:05:54.315513,21:05:54.293241
21:05:54.982403,21:05:54.943567
21:05:55.650565,21:05:55.623359
21:05:56.327663,21:05:56.296397
21:05:56.982018,21:05:56.956683
21:05:57.784954,21:05:57.6157
21:05:58.887363,21:05:58.423383
21:05:59.830008,21:05:59.542786
21:06:00.744163,21:06:00.485432
21:06:44.988839,21:06:44.843936
21:06:37.736801,21:06:37.58823
21:06:38.526256,21:06:38.379768
21:06:39.322997,21:06:39.171874
21:06:40.102965,21:06:39.95676
21:06:40.881667,21:06:40.73933
21:06:41.663329,21:06:41.51611
21:06:42.445662,21:06:42.298564
21:06:43.228252,21:06:43.08468
21:06:44.205466,21:06:43.89775
21:06:45.773247,21:06:45.624383
21:06:46.56406,21:06:46.41387
21:06:47.361803,21:06:47.206533
21:06:48.281185,21:06:48.014182
21:11:13.697915,21:11:13.679707
21:11:14.335442,21:11:14.32023
21:11:14.977595,21:11:14.9587
21:11:15.622455,21:11:15.601107
21:11:16.271575,21:11:16.249451
21:11:16.920123,21:11:16.899025
21:11:17.567218,21:11:17.547438
21:11:18.220202,21:11:18.195362
21:11:18.889212,21:11:18.857315
21:11:19.562198,21:11:19.529769
21:11:20.262027,21:11:20.222999
21:11:20.952309,21:11:20.910774
21:11:21.63994,21:11:21.599634
21:11:22.324808,21:11:22.278883
21:11:23.021364,21:11:22.971369
21:11:23.730706,21:11:23.674709
21:11:24.43416,21:11:24.383371
21:15:14.728377,21:15:14.657791
21:15:15.422028,21:15:15.384674
21:15:16.129843,21:15:16.046851
21:15:16.855906,21:15:16.758004
21:15:17.586309,21:15:17.486592
21:15:18.360706,21:15:18.215593
21:15:19.123662,21:15:18.992077
21:15:19.83848,21:15:19.752095
21:15:20.616368,21:15:20.482486
21:15:21.323773,21:15:21.252217
21:15:22.091386,21:15:21.956988
21:15:22.804016,21:15:22.72713
21:15:23.507103,21:15:23.438279
21:15:24.261307,21:15:24.145348
21:15:25.002175,21:15:24.911112
21:20:03.15898,21:20:03.046026
21:20:03.974079,21:20:03.829706
21:20:02.373052,21:20:02.265976
21:20:04.819441,21:20:04.622498
21:20:07.194136,21:20:07.101002
21:20:08.808814,21:20:08.644171
21:20:09.652569,21:20:09.484273
21:20:05.679057,21:20:05.511654
21:20:06.435461,21:20:06.343402
21:20:07.96262,21:20:07.86179
21:20:11.349107,21:20:11.18027
21:20:12.209923,21:20:12.015836
21:20:13.059334,21:20:12.872368
21:20:13.910975,21:20:13.730835
21:20:10.504474,21:20:10.317182
21:20:53.695425,21:20:53.478157
21:20:48.871573,21:20:48.857176
21:20:49.517996,21:20:49.500064
21:20:50.344557,21:20:50.150211
21:20:51.171943,21:20:50.977884
21:20:52.004425,21:20:51.809152
21:20:52.848021,21:20:52.631837
21:20:57.11345,21:20:56.894259
21:20:58.215316,21:20:57.760101
21:20:54.541244,21:20:54.335967
21:20:55.395132,21:20:55.184355
21:20:56.249468,21:20:56.036457
21:20:59.155356,21:20:58.945498
21:21:00.012949,21:20:59.801491
21:21:00.876186,21:21:00.663206
21:21:19.39802,21:21:18.297542
21:21:21.203706,21:21:20.198422
21:21:22.62036,21:21:22.097284
21:21:13.027313,21:21:12.975787
21:21:13.692353,21:21:13.654724
21:21:14.363616,21:21:14.3244
21:21:15.04193,21:21:15.001385
21:21:15.809348,21:21:15.701466
21:21:17.102718,21:21:16.439012
21:21:23.691315,21:21:23.305427
21:21:24.955587,21:21:24.363812
21:22:13.122785,21:22:13.11159
21:22:13.756096,21:22:13.744127
21:22:14.388319,21:22:14.376634
21:22:15.028467,21:22:15.015644
21:22:20.42532,21:22:20.005337
21:22:21.296863,21:22:21.092869
21:22:22.144643,21:22:21.964356
21:22:23.056555,21:22:22.811843
21:22:15.67483,21:22:15.66209
21:22:16.326434,21:22:16.310282
21:22:16.975065,21:22:16.960593
21:22:17.643111,21:22:17.614851
21:22:18.453505,21:22:18.293583
21:22:19.335542,21:22:19.119361
21:22:23.928908,21:22:23.725878
21:22:24.795314,21:22:24.600083
21:28:36.702364,21:28:36.67255
21:28:37.376535,21:28:37.345983
21:28:38.14385,21:28:38.015715
21:28:39.023729,21:28:38.784129
21:28:39.803426,21:28:39.669028
21:28:40.581946,21:28:40.450402
21:28:41.401774,21:28:41.232251
21:28:42.182037,21:28:42.046632
21:28:42.981385,21:28:42.834836
21:28:43.922333,21:28:43.632809
21:28:44.737892,21:28:44.58237
21:28:45.656923,21:28:45.401221
21:28:46.522625,21:28:46.322032
21:28:47.410685,21:28:47.198882
21:28:48.299897,21:28:48.096984
21:32:50.167657,21:32:50.15507
21:32:49.530599,21:32:49.518882
21:32:50.810628,21:32:50.797148
21:32:51.463101,21:32:51.446592
21:32:52.76284,21:32:52.734524
21:32:54.096899,21:32:54.07671
21:32:54.755472,21:32:54.736517
21:32:55.472329,21:32:55.419713
21:32:52.105452,21:32:52.089509
21:32:53.437072,21:32:53.422718
21:32:56.128873,21:32:56.110822
21:32:56.789175,21:32:56.760716
21:32:57.552303,21:32:57.426102
21:32:58.214512,21:32:58.183932
21:32:58.867932,21:32:58.84755
21:32:59.547329,21:32:59.513503
21:33:00.204529,21:33:00.183216
21:33:00.890787,21:33:00.846262
21:36:13.989561,21:36:13.96956
21:36:15.292452,21:36:15.260226
21:36:13.349844,21:36:13.329606
21:36:14.637249,21:36:14.610618
21:36:17.284031,21:36:17.241821
21:36:15.953234,21:36:15.917117
21:36:16.617739,21:36:16.576454
21:36:22.21754,21:36:22.132718
21:36:17.951489,21:36:17.911124
21:36:18.653669,21:36:18.583041
21:36:19.358304,21:36:19.28689
21:36:20.071099,21:36:19.991612
21:36:20.787756,21:36:20.714548
21:36:21.497145,21:36:21.425682
21:36:22.926904,21:36:22.85558
21:36:23.639632,21:36:23.564538
21:36:24.347126,21:36:24.278921
21:37:12.648909,21:37:12.601526
21:37:13.328755,21:37:13.281001
21:37:14.009875,21:37:13.960428
21:37:14.694883,21:37:14.640186
21:37:15.382895,21:37:15.325147
21:37:16.082717,21:37:16.017781
21:37:16.780129,21:37:16.715715
21:37:17.477579,21:37:17.415137
21:37:18.173286,21:37:18.110846
21:37:18.872867,21:37:18.807096
21:37:19.642171,21:37:19.513329
21:37:20.437982,21:37:20.290214
21:37:21.211603,21:37:21.074987
21:37:21.971349,21:37:21.849406
21:37:22.698226,21:37:22.605668
21:37:23.708157,21:37:23.337974
21:37:24.447859,21:37:24.344452
21:38:51.350587,21:38:51.338776
21:38:51.982904,21:38:51.969672
21:38:52.618299,21:38:52.605205
21:38:49.462413,21:38:49.451014
21:38:50.092434,21:38:50.080148
21:38:50.720899,21:38:50.711279
21:38:53.250524,21:38:53.23788
21:38:53.887628,21:38:53.874612
21:38:54.524745,21:38:54.511689
21:38:55.171529,21:38:55.15372
21:38:55.814367,21:38:55.801352
21:38:56.484858,21:38:56.46343
21:38:57.128519,21:38:57.11347
21:38:57.778728,21:38:57.762391
21:38:58.430931,21:38:58.415189
21:38:59.087693,21:38:59.070467
21:38:59.742851,21:38:59.725851
21:39:00.408566,21:39:00.37963
